Time Stamp,Record Type,Channel,Parameter Code,Parameter Value
1:07:00:00,3,0,14:LN2 Level,0
1:07:00:00,3,1,15:AC Detector Leakage Current,-209
1:07:00:00,3,1,73:DC Detector Leakage Current,44.586098
1:07:00:00,3,1,16:Charge Loop DC Level,-1.6399999
1:08:00:00,3,0,11:PRTD 1,-183.2618
1:08:00:00,3,0,12:PRTD 2,-190.57797
1:08:00:00,3,0,13:Ambient Temperature,31.082184
1:08:00:00,3,0,14:LN2 Level,0
1:08:00:00,3,1,15:AC Detector Leakage Current,-209
1:08:00:00,3,1,73:DC Detector Leakage Current,44.586098
1:08:00:00,3,1,16:Charge Loop DC Level,-1.6399999
1:09:00:00,3,0,11:PRTD 1,-183.2673
1:09:00:00,3,0,12:PRTD 2,-190.58344
1:09:00:00,3,0,13:Ambient Temperature,31.286255
1:09:00:00,3,0,14:LN2 Level,0
1:09:00:00,3,1,15:AC Detector Leakage Current,-209
1:09:00:00,3,1,73:DC Detector Leakage Current,44.586098
1:09:00:00,3,1,16:Charge Loop DC Level,-1.6399999
1:10:00:00,3,0,11:PRTD 1,-183.2728
1:10:00:00,3,0,12:PRTD 2,-190.57797
1:10:00:00,3,0,13:Ambient Temperature,31.082184
1:10:00:00,3,0,14:LN2 Level,0
1:10:00:00,3,1,15:AC Detector Leakage Current,-209
1:10:00:00,3,1,73:DC Detector Leakage Current,44.586098
1:10:00:00,3,1,16:Charge Loop DC Level,-1.6399999
1:11:00:00,3,0,11:PRTD 1,-183.28381
1:11:00:00,3,0,12:PRTD 2,-190.55063
1:11:00:00,3,0,13:Ambient Temperature,30.878082
1:11:00:00,3,0,14:LN2 Level,0
1:11:00:00,3,1,15:AC Detector Leakage Current,-209
1:11:00:00,3,1,73:DC Detector Leakage Current,44.586098
1:11:00:00,3,1,16:Charge Loop DC Level,-1.6399999
1:12:00:00,3,0,11:PRTD 1,-183.32237
1:12:00:00,3,0,12:PRTD 2,-190.56155
1:12:00:00,3,0,13:Ambient Temperature,30.46994
1:12:00:00,3,0,14:LN2 Level,0
1:12:00:00,3,1,15:AC Detector Leakage Current,-209
1:12:00:00,3,1,73:DC Detector Leakage Current,44.586098
1:12:00:00,3,1,16:Charge Loop DC Level,-1.6399999
1:13:00:00,3,0,11:PRTD 1,-183.3444
1:13:00:00,3,0,12:PRTD 2,-190.55609
1:13:00:00,3,0,13:Ambient Temperature,30.265839
1:13:00:00,3,0,14:LN2 Level,0
1:13:00:00,3,1,15:AC Detector Leakage Current,-209
1:13:00:00,3,1,73:DC Detector Leakage Current,57.324936
1:13:00:00,3,1,16:Charge Loop DC Level,-1.6199999
1:14:00:00,3,0,11:PRTD 1,-183.33339
1:14:00:00,3,0,12:PRTD 2,-190.55063
1:14:00:00,3,0,13:Ambient Temperature,30.46994
1:14:00:00,3,0,14:LN2 Level,0
1:14:00:00,3,1,15:AC Detector Leakage Current,-209
1:14:00:00,3,1,73:DC Detector Leakage Current,44.586098
1:14:00:00,3,1,16:Charge Loop DC Level,-1.6399999
1:15:00:00,3,0,11:PRTD 1,-183.32237
1:15:00:00,3,0,12:PRTD 2,-190.56155
1:15:00:00,3,0,13:Ambient Temperature,30.46994
1:15:00:00,3,0,14:LN2 Level,0
1:15:00:00,3,1,15:AC Detector Leakage Current,-209
1:15:00:00,3,1,73:DC Detector Leakage Current,57.324936
1:15:00:00,3,1,16:Charge Loop DC Level,-1.6199999
1:16:00:00,3,0,11:PRTD 1,-183.31136
1:16:00:00,3,0,12:PRTD 2,-190.55609
1:16:00:00,3,0,13:Ambient Temperature,30.674011
1:16:00:00,3,0,14:LN2 Level,0
1:16:00:00,3,1,15:AC Detector Leakage Current,-209
1:16:00:00,3,1,73:DC Detector Leakage Current,57.324936
1:16:00:00,3,1,16:Charge Loop DC Level,-1.6199999
1:17:00:00,3,0,11:PRTD 1,-183.31136
1:17:00:00,3,0,12:PRTD 2,-190.55609
1:17:00:00,3,0,13:Ambient Temperature,30.674011
1:17:00:00,3,0,14:LN2 Level,0
1:17:00:00,3,1,15:AC Detector Leakage Current,-209
1:17:00:00,3,1,73:DC Detector Leakage Current,44.586098
1:17:00:00,3,1,16:Charge Loop DC Level,-1.6399999
1:18:00:00,3,0,11:PRTD 1,-183.31686
1:18:00:00,3,0,12:PRTD 2,-190.56155
1:18:00:00,3,0,13:Ambient Temperature,30.674011
1:18:00:00,3,0,14:LN2 Level,0
1:18:00:00,3,1,15:AC Detector Leakage Current,-209
1:18:00:00,3,1,73:DC Detector Leakage Current,44.586098
1:18:00:00,3,1,16:Charge Loop DC Level,-1.6399999
1:19:00:00,3,0,11:PRTD 1,-183.32788
1:19:00:00,3,0,12:PRTD 2,-190.57797
1:19:00:00,3,0,13:Ambient Temperature,30.674011
1:19:00:00,3,0,14:LN2 Level,0
1:19:00:00,3,1,15:AC Detector Leakage Current,-209
1:19:00:00,3,1,73:DC Detector Leakage Current,44.586098
1:19:00:00,3,1,16:Charge Loop DC Level,-1.6399999
1:20:00:00,3,0,11:PRTD 1,-183.32237
1:20:00:00,3,0,12:PRTD 2,-190.56155
1:20:00:00,3,0,13:Ambient Temperature,30.878082
1:20:00:00,3,0,14:LN2 Level,0
1:20:00:00,3,1,15:AC Detector Leakage Current,-209
1:20:00:00,3,1,73:DC Detector Leakage Current,57.324936
1:20:00:00,3,1,16:Charge Loop DC Level,-1.6199999
1:21:00:00,3,0,11:PRTD 1,-183.30585
1:21:00:00,3,0,12:PRTD 2,-190.56155
1:21:00:00,3,0,13:Ambient Temperature,30.674011
1:21:00:00,3,0,14:LN2 Level,0
1:21:00:00,3,1,15:AC Detector Leakage Current,-209
1:21:00:00,3,1,73:DC Detector Leakage Current,57.324936
1:21:00:00,3,1,16:Charge Loop DC Level,-1.6199999
1:22:00:00,3,0,11:PRTD 1,-183.31686
1:22:00:00,3,0,12:PRTD 2,-190.55609
1:22:00:00,3,0,13:Ambient Temperature,30.674011
1:22:00:00,3,0,14:LN2 Level,0
1:22:00:00,3,1,15:AC Detector Leakage Current,-209
1:22:00:00,3,1,73:DC Detector Leakage Current,44.586098
1:22:00:00,3,1,16:Charge Loop DC Level,-1.6399999
1:23:00:00,3,0,11:PRTD 1,-183.30034
