Date	Time	Cooler power (W)	Coldtip T (°C)	Coldtip preset T (°C)	Coldhead T (°C)	Compressor T (°C)	Controller T (°C)	Fault status	13725(X)
8/7/2023	13:47:15	0	17.62	-185	27.9	27.2	29.3	No	errors
8/7/2023	13:57:08	147.22	-21.64	-185	39.7	34.2	32.2	No	errors
8/7/2023	14:07:14	150.06	-50.28	-185	44.9	40	33.9	No	errors
8/7/2023	14:17:20	152.71	-74.09	-185	46.9	43.8	35	No	errors
8/7/2023	14:27:26	155.1	-94.63	-185	46	45.3	35.4	No	errors
8/7/2023	14:37:32	157.72	-112.65	-185	45.3	46	35.8	No	errors
8/7/2023	14:47:38	160.68	-128.43	-185	45.1	46.7	36.1	No	errors
8/7/2023	14:57:43	163.85	-142.21	-185	45	47.3	36.5	No	errors
8/7/2023	15:07:49	166.85	-154.09	-185	44.9	48	36.8	No	errors
8/7/2023	15:17:55	169.87	-164.3	-185	44.9	48.6	35.9	No	errors
8/7/2023	15:28:01	172.62	-173.01	-185	44.7	49.2	35.2	No	errors
8/7/2023	15:38:07	175.1	-180.22	-185	44.4	49.7	35	No	errors
8/7/2023	15:48:13	137.62	-185.66	-185	44.1	49.8	34.9	No	errors
8/7/2023	15:58:19	68.09	-185.72	-185	39.4	44.5	34.4	No	errors
8/7/2023	16:08:25	64.63	-184.98	-185	35.9	39.6	34.6	No	errors
8/7/2023	16:18:31	64	-185.04	-185	34.6	36.9	34.6	No	errors
8/7/2023	16:28:38	60.88	-185.05	-185	33.8	35.2	34.6	No	errors
8/7/2023	16:38:44	60.11	-185	-185	34.1	34.6	34.8	No	errors
8/7/2023	16:48:50	60.07	-185	-185	34	34.2	34.7	No	errors
8/7/2023	16:58:56	59.49	-185	-185	34	34	34.8	No	errors
8/7/2023	17:09:02	59.3	-185.01	-185	34.1	33.9	34.8	No	errors
8/7/2023	17:19:08	59.2	-185.01	-185	34.1	33.9	34.9	No	errors
8/7/2023	17:29:14	59.1	-185	-185	33.9	33.8	34.8	No	errors
8/7/2023	17:39:20	59.06	-185	-185	33.9	33.8	34.8	No	errors
8/7/2023	17:49:26	59.08	-184.99	-185	33.9	33.7	34.8	No	errors
8/7/2023	17:59:32	58.91	-185.01	-185	33.8	33.7	34.8	No	errors
8/7/2023	18:09:38	58.78	-185	-185	33.8	33.6	34.8	No	errors
8/7/2023	18:19:44	58.71	-185.01	-185	33.8	33.6	34.8	No	errors
8/7/2023	18:29:50	58.65	-185	-185	33.7	33.6	34.8	No	errors
8/7/2023	18:39:57	58.51	-185.01	-185	33.7	33.5	34.7	No	errors
8/7/2023	18:50:03	58.57	-185	-185	33.7	33.5	34.7	No	errors
8/7/2023	19:00:09	58.58	-185	-185	33.8	33.6	34.9	No	errors
8/7/2023	19:10:15	58.82	-185	-185	34	33.7	35	No	errors
8/7/2023	19:20:21	58.95	-185	-185	34.1	33.8	35	No	errors
8/7/2023	19:30:26	58.87	-185	-185	34.1	33.9	35.1	No	errors
8/7/2023	19:40:32	58.82	-185.01	-185	34	33.8	35.1	No	errors
8/7/2023	19:50:38	58.5	-185.01	-185	33.6	33.5	34.9	No	errors
8/7/2023	20:00:44	58.29	-185.01	-185	33.5	33.4	34.8	No	errors
8/7/2023	20:10:50	58.36	-185.01	-185	33.6	33.4	34.8	No	errors
8/7/2023	20:20:57	58.27	-185	-185	33.5	33.3	34.7	No	errors
8/7/2023	20:31:03	58.04	-185.01	-185	33.3	33.2	34.5	No	errors
8/7/2023	20:41:09	57.93	-185	-185	33.2	33.1	34.4	No	errors
8/7/2023	20:51:15	57.76	-185.01	-185	33.1	33	34.3	No	errors
8/7/2023	21:01:21	57.74	-185.01	-185	33	32.9	34.3	No	errors
8/7/2023	21:11:27	57.77	-185	-185	33	32.8	34.2	No	errors
8/7/2023	21:21:33	57.64	-185.01	-185	33	32.8	34.2	No	errors
8/7/2023	21:31:40	57.51	-185.01	-185	32.9	32.7	34.2	No	errors
8/7/2023	21:41:46	57.44	-185.01	-185	32.9	32.6	34.1	No	errors
8/7/2023	21:51:52	57.44	-185	-185	32.8	32.6	34.1	No	errors
8/7/2023	22:01:59	57.55	-185	-185	32.8	32.6	34.1	No	errors
8/7/2023	22:12:05	57.44	-185	-185	32.8	32.5	34	No	errors
8/7/2023	22:22:12	57.33	-185	-185	32.7	32.5	34	No	errors
8/7/2023	22:32:18	57.34	-185	-185	32.7	32.5	34	No	errors
8/7/2023	22:42:24	57.26	-185	-185	32.8	32.5	34	No	errors
8/7/2023	22:52:30	57.27	-185	-185	32.8	32.5	34	No	errors
8/7/2023	23:02:36	57.25	-185.01	-185	32.7	32.4	34	No	errors
8/7/2023	23:12:42	57.2	-185	-185	32.7	32.4	33.9	No	errors
8/7/2023	23:22:49	57.2	-185	-185	32.6	32.4	33.9	No	errors
8/7/2023	23:32:55	57.15	-185.01	-185	32.6	32.4	33.9	No	errors
8/7/2023	23:43:01	57.32	-184.99	-185	32.6	32.4	33.9	No	errors
8/7/2023	23:53:08	57.09	-185	-185	32.6	32.3	33.9	No	errors
8/8/2023	0:03:14	57.03	-185.01	-185	32.6	32.3	33.8	No	errors
8/8/2023	0:13:20	56.87	-185.01	-185	32.5	32.3	33.8	No	errors
8/8/2023	0:23:26	57.17	-185	-185	32.5	32.3	33.8	No	errors
8/8/2023	0:33:33	56.92	-185	-185	32.5	32.2	33.8	No	errors
8/8/2023	0:43:39	56.9	-185.01	-185	32.5	32.2	33.8	No	errors
8/8/2023	0:53:45	57	-185	-185	32.5	32.2	33.8	No	errors
8/8/2023	1:03:51	56.99	-185	-185	32.5	32.2	33.8	No	errors
8/8/2023	1:13:58	57.11	-185	-185	32.4	32.2	33.7	No	errors
8/8/2023	1:24:04	56.91	-185	-185	32.4	32.2	33.7	No	errors
8/8/2023	1:34:10	56.83	-185.01	-185	32.4	32.1	33.7	No	errors
8/8/2023	1:44:16	56.93	-185	-185	32.4	32.1	33.7	No	errors
8/8/2023	1:54:23	56.75	-185.01	-185	32.4	32.1	33.7	No	errors
8/8/2023	2:04:29	56.98	-185	-185	32.4	32.1	33.7	No	errors
8/8/2023	2:14:35	56.75	-185.01	-185	32.4	32.1	33.7	No	errors
8/8/2023	2:24:42	56.7	-185.01	-185	32.3	32.1	33.7	No	errors
8/8/2023	2:34:48	56.93	-184.99	-185	32.3	32.1	33.6	No	errors
8/8/2023	2:44:55	56.83	-185	-185	32.3	32	33.6	No	errors
8/8/2023	2:55:01	56.66	-185.01	-185	32.3	32	33.6	No	errors
8/8/2023	3:05:07	56.91	-185	-185	32.3	32	33.6	No	errors
8/8/2023	3:15:14	56.79	-185	-185	32.3	32	33.6	No	errors
8/8/2023	3:25:20	56.54	-185.02	-185	32.3	32	33.6	No	errors
8/8/2023	3:35:27	56.75	-185	-185	32.3	32	33.6	No	errors
8/8/2023	3:45:33	56.7	-185	-185	32.3	32	33.6	No	errors
8/8/2023	3:55:40	56.7	-185	-185	32.2	31.9	33.6	No	errors
8/8/2023	4:05:46	56.71	-185	-185	32.2	31.9	33.6	No	errors
8/8/2023	4:15:52	56.71	-185	-185	32.2	31.9	33.6	No	errors
8/8/2023	4:25:59	56.48	-185.01	-185	32.2	31.9	33.6	No	errors
8/8/2023	4:36:05	56.59	-185.01	-185	32.2	31.9	33.5	No	errors
8/8/2023	4:46:11	56.69	-185	-185	32.2	31.9	33.5	No	errors
