Time Stamp,Record Type,Channel,Parameter Code,Parameter Value
0:00:00:04,1,0,05:+24V Supply,0
0:00:00:04,1,0,06:+12V Supply,0
0:00:00:04,1,0,08:-12VSupply,-0.024999999
0:00:00:04,1,0,07:-24V Supply,-0.049999997
0:00:00:04,1,0,09:+5V Supply,0.055
0:00:00:04,1,0,10:-5V Supply,0.355
0:00:06:29,2,0,05:+24V Supply,22.17
0:00:06:29,2,0,06:+12V Supply,11.66
0:00:06:29,2,0,08:-12VSupply,-12.105
0:00:06:29,2,0,07:-24V Supply,-24.15
0:00:06:29,2,0,09:+5V Supply,5.0099998
0:00:06:29,2,0,10:-5V Supply,-5.035
0:00:06:34,1,1,16:Charge Loop DC Level,-23.939999
0:00:00:04,1,0,05:+24V Supply,0
0:00:00:04,1,0,06:+12V Supply,0
0:00:00:04,1,0,08:-12VSupply,-0.02
0:00:00:04,1,0,07:-24V Supply,-0.04
0:00:00:04,1,0,09:+5V Supply,0.04
0:00:00:04,1,0,10:-5V Supply,0.36499998
0:00:54:49,2,0,05:+24V Supply,22.17
0:00:54:49,2,0,06:+12V Supply,11.665
0:00:54:49,2,0,08:-12VSupply,-12.099999
0:00:54:49,2,0,07:-24V Supply,-24.14
0:00:54:49,2,0,09:+5V Supply,5.005
0:00:54:49,2,0,10:-5V Supply,-5.035
0:00:54:49,1,1,16:Charge Loop DC Level,-23.939999
0:00:55:09,2,1,16:Charge Loop DC Level,-1.6399999
0:00:00:04,1,0,05:+24V Supply,0
0:00:00:04,1,0,06:+12V Supply,0
0:00:00:04,1,0,08:-12VSupply,-0.024999999
0:00:00:04,1,0,07:-24V Supply,-0.04
0:00:00:04,1,0,09:+5V Supply,0.04
0:00:00:04,1,0,10:-5V Supply,0.37
0:01:00:00,3,0,11:PRTD 1,-183.54814
0:01:00:00,3,0,12:PRTD 2,-190.70923
0:01:00:00,3,0,13:Ambient Temperature,27.00055
0:01:00:00,3,0,14:LN2 Level,0
0:02:00:00,3,0,11:PRTD 1,-183.54814
0:02:00:00,3,0,12:PRTD 2,-190.70923
0:02:00:00,3,0,13:Ambient Temperature,26.796448
0:02:00:00,3,0,14:LN2 Level,0
0:03:00:00,3,0,11:PRTD 1,-183.55365
0:03:00:00,3,0,12:PRTD 2,-190.71469
0:03:00:00,3,0,13:Ambient Temperature,26.796448
0:03:00:00,3,0,14:LN2 Level,0
0:04:00:00,3,0,11:PRTD 1,-183.55365
0:04:00:00,3,0,12:PRTD 2,-190.71469
0:04:00:00,3,0,13:Ambient Temperature,26.796448
0:04:00:00,3,0,14:LN2 Level,0
0:05:00:00,3,0,11:PRTD 1,-183.53714
0:05:00:00,3,0,12:PRTD 2,-190.70923
0:05:00:00,3,0,13:Ambient Temperature,26.796448
0:05:00:00,3,0,14:LN2 Level,0
0:06:00:00,3,0,11:PRTD 1,-183.54814
0:06:00:00,3,0,12:PRTD 2,-190.70923
0:06:00:00,3,0,13:Ambient Temperature,26.796448
0:06:00:00,3,0,14:LN2 Level,0
0:07:00:00,3,0,11:PRTD 1,-183.53714
0:07:00:00,3,0,12:PRTD 2,-190.70377
0:07:00:00,3,0,13:Ambient Temperature,26.796448
0:07:00:00,3,0,14:LN2 Level,0
0:08:00:00,3,0,11:PRTD 1,-183.53163
0:08:00:00,3,0,12:PRTD 2,-190.70377
0:08:00:00,3,0,13:Ambient Temperature,26.796448
0:08:00:00,3,0,14:LN2 Level,0
0:09:00:00,3,0,11:PRTD 1,-183.53714
0:09:00:00,3,0,12:PRTD 2,-190.70377
0:09:00:00,3,0,13:Ambient Temperature,26.796448
0:09:00:00,3,0,14:LN2 Level,0
0:10:00:00,3,0,11:PRTD 1,-183.54263
0:10:00:00,3,0,12:PRTD 2,-190.70377
0:10:00:00,3,0,13:Ambient Temperature,26.796448
0:10:00:00,3,0,14:LN2 Level,0
0:11:00:00,3,0,11:PRTD 1,-183.52612
0:11:00:00,3,0,12:PRTD 2,-190.70377
0:11:00:00,3,0,13:Ambient Temperature,26.796448
0:11:00:00,3,0,14:LN2 Level,0
0:12:00:00,3,0,11:PRTD 1,-183.53714
0:12:00:00,3,0,12:PRTD 2,-190.70377
0:12:00:00,3,0,13:Ambient Temperature,26.796448
0:12:00:00,3,0,14:LN2 Level,0
0:13:00:00,3,0,11:PRTD 1,-183.53163
0:13:00:00,3,0,12:PRTD 2,-190.69829
0:13:00:00,3,0,13:Ambient Temperature,26.796448
0:13:00:00,3,0,14:LN2 Level,0
0:14:00:00,3,0,11:PRTD 1,-183.52612
0:14:00:00,3,0,12:PRTD 2,-190.70923
0:14:00:00,3,0,13:Ambient Temperature,27.00055
0:14:00:00,3,0,14:LN2 Level,0
1:00:00:04,1,1,16:Charge Loop DC Level,-23.939999
1:00:00:04,1,1,73:DC Detector Leakage Current,-14159.235
1:00:00:24,2,1,16:Charge Loop DC Level,-1.04
1:00:00:24,2,1,73:DC Detector Leakage Current,426.75162
1:00:03:49,1,1,73:DC Detector Leakage Current,2426.7515
1:00:04:34,2,1,73:DC Detector Leakage Current,898.0892
1:00:04:49,1,1,73:DC Detector Leakage Current,1700.637
1:00:05:04,2,1,73:DC Detector Leakage Current,821.65607
1:01:00:00,3,0,11:PRTD 1,-182.56761
1:01:00:00,3,0,12:PRTD 2,-190.72563
1:01:00:00,3,0,13:Ambient Temperature,37.20465
1:01:00:00,3,0,14:LN2 Level,0
1:01:00:00,3,1,15:AC Detector Leakage Current,-209
1:01:00:00,3,1,73:DC Detector Leakage Current,159.23566
1:01:00:00,3,1,16:Charge Loop DC Level,-1.46
1:02:00:00,3,0,11:PRTD 1,-182.54556
1:02:00:00,3,0,12:PRTD 2,-190.73111
1:02:00:00,3,0,13:Ambient Temperature,37.612793
1:02:00:00,3,0,14:LN2 Level,0
1:02:00:00,3,1,15:AC Detector Leakage Current,-209
1:02:00:00,3,1,73:DC Detector Leakage Current,159.23566
1:02:00:00,3,1,16:Charge Loop DC Level,-1.46
1:03:00:00,3,0,11:PRTD 1,-182.54005
1:03:00:00,3,0,12:PRTD 2,-190.72563
1:03:00:00,3,0,13:Ambient Temperature,37.816895
1:03:00:00,3,0,14:LN2 Level,0
1:03:00:00,3,1,15:AC Detector Leakage Current,-208
1:03:00:00,3,1,73:DC Detector Leakage Current,159.23566
1:03:00:00,3,1,16:Charge Loop DC Level,-1.46
1:04:00:00,3,0,11:PRTD 1,-182.50699
1:04:00:00,3,0,12:PRTD 2,-190.72563
1:04:00:00,3,0,13:Ambient Temperature,38.020966
1:04:00:00,3,0,14:LN2 Level,0
1:04:00:00,3,1,15:AC Detector Leakage Current,-208
1:04:00:00,3,1,73:DC Detector Leakage Current,159.23566
1:04:00:00,3,1,16:Charge Loop DC Level,-1.46
1:05:00:00,3,0,11:PRTD 1,-182.49597
1:05:00:00,3,0,12:PRTD 2,-190.73111
1:05:00:00,3,0,13:Ambient Temperature,38.225037
1:05:00:00,3,0,14:LN2 Level,0
1:05:00:00,3,1,15:AC Detector Leakage Current,-208
1:05:00:00,3,1,73:DC Detector Leakage Current,159.23566
1:05:00:00,3,1,16:Charge Loop DC Level,-1.46
1:06:00:00,3,0,11:PRTD 1,-182.46841
1:06:00:00,3,0,12:PRTD 2,-190.72563
1:06:00:00,3,0,13:Ambient Temperature,38.020966
1:06:00:00,3,0,14:LN2 Level,0
1:06:00:00,3,1,15:AC Detector Leakage Current,-207
1:06:00:00,3,1,73:DC Detector Leakage Current,159.23566
1:06:00:00,3,1,16:Charge Loop DC Level,-1.46
1:07:00:00,3,0,11:PRTD 1,-182.49045
1:07:00:00,3,0,12:PRTD 2,-190.70923
1:07:00:00,3,0,13:Ambient Temperature,37.816895
1:07:00:00,3,0,14:LN2 Level,0
1:07:00:00,3,1,15:AC Detector Leakage Current,-207
1:07:00:00,3,1,73:DC Detector Leakage Current,159.23566
1:07:00:00,3,1,16:Charge Loop DC Level,-1.46
1:08:00:00,3,0,11:PRTD 1,-182.50148
1:08:00:00,3,0,12:PRTD 2,-190.71469
1:08:00:00,3,0,13:Ambient Temperature,37.612793
1:08:00:00,3,0,14:LN2 Level,0
1:08:00:00,3,1,15:AC Detector Leakage Current,-208
1:08:00:00,3,1,73:DC Detector Leakage Current,146.49681
1:08:00:00,3,1,16:Charge Loop DC Level,-1.48
1:09:00:00,3,0,11:PRTD 1,-182.46841
1:09:00:00,3,0,12:PRTD 2,-190.71469
1:09:00:00,3,0,13:Ambient Temperature,38.020966
1:09:00:00,3,0,14:LN2 Level,0
1:09:00:00,3,1,15:AC Detector Leakage Current,-207
1:09:00:00,3,1,73:DC Detector Leakage Current,273.88538
1:09:00:00,3,1,16:Charge Loop DC Level,-1.28
1:10:00:00,3,0,11:PRTD 1,-182.47943
1:10:00:00,3,0,12:PRTD 2,-190.69829
1:10:00:00,3,0,13:Ambient Temperature,37.816895
1:10:00:00,3,0,14:LN2 Level,0
1:10:00:00,3,1,15:AC Detector Leakage Current,-207
1:10:00:00,3,1,73:DC Detector Leakage Current,146.49681
1:10:00:00,3,1,16:Charge Loop DC Level,-1.48
1:11:00:00,3,0,11:PRTD 1,-182.49045
1:11:00:00,3,0,12:PRTD 2,-190.70377
1:11:00:00,3,0,13:Ambient Temperature,37.612793
1:11:00:00,3,0,14:LN2 Level,0
1:11:00:00,3,1,15:AC Detector Leakage Current,-208
1:11:00:00,3,1,73:DC Detector Leakage Current,146.49681
1:11:00:00,3,1,16:Charge Loop DC Level,-1.48
1:12:00:00,3,0,11:PRTD 1,-182.5125
1:12:00:00,3,0,12:PRTD 2,-190.70377
1:12:00:00,3,0,13:Ambient Temperature,37.408722
1:12:00:00,3,0,14:LN2 Level,0
1:12:00:00,3,1,15:AC Detector Leakage Current,-207
1:12:00:00,3,1,73:DC Detector Leakage Current,146.49681
1:12:00:00,3,1,16:Charge Loop DC Level,-1.48
1:13:00:00,3,0,11:PRTD 1,-182.50699
1:13:00:00,3,0,12:PRTD 2,-190.69283
1:13:00:00,3,0,13:Ambient Temperature,37.408722
1:13:00:00,3,0,14:LN2 Level,0
1:13:00:00,3,1,15:AC Detector Leakage Current,-207
1:13:00:00,3,1,73:DC Detector Leakage Current,133.75798
1:13:00:00,3,1,16:Charge Loop DC Level,-1.5
1:14:00:00,3,0,11:PRTD 1,-182.50699
1:14:00:00,3,0,12:PRTD 2,-190.70377
1:14:00:00,3,0,13:Ambient Temperature,37.408722
1:14:00:00,3,0,14:LN2 Level,0
1:14:00:00,3,1,15:AC Detector Leakage Current,-208
1:14:00:00,3,1,73:DC Detector Leakage Current,146.49681
1:14:00:00,3,1,16:Charge Loop DC Level,-1.48
1:15:00:00,3,0,11:PRTD 1,-182.5125
1:15:00:00,3,0,12:PRTD 2,-190.71469
1:15:00:00,3,0,13:Ambient Temperature,37.408722
1:15:00:00,3,0,14:LN2 Level,0
1:15:00:00,3,1,15:AC Detector Leakage Current,-208
1:15:00:00,3,1,73:DC Detector Leakage Current,133.75798
