Time Stamp,Record Type,Channel,Parameter Code,Parameter Value,Unnamed: 5
90:06:00:00,3,0,14:LN2 Level,0.0,
90:06:00:00,3,1,15:AC Detector Leakage Current,-262.0,
90:06:00:00,3,1,73:DC Detector Leakage Current,0.0,
90:06:00:00,3,1,16:Charge Loop DC Level,-0.4,
90:07:00:00,3,0,11:PRTD 1,-157.7995,
90:07:00:00,3,0,12:PRTD 2,-199.17862,
90:07:00:00,3,0,13:Ambient Temperature,26.388275,
90:07:00:00,3,0,14:LN2 Level,0.0,
90:07:00:00,3,1,15:AC Detector Leakage Current,-262.0,
90:07:00:00,3,1,73:DC Detector Leakage Current,0.0,
90:07:00:00,3,1,16:Charge Loop DC Level,-0.4,
90:08:00:00,3,0,11:PRTD 1,-157.76567,
90:08:00:00,3,0,12:PRTD 2,-199.20575,
90:08:00:00,3,0,13:Ambient Temperature,26.796448,
90:08:00:00,3,0,14:LN2 Level,0.0,
90:08:00:00,3,1,15:AC Detector Leakage Current,-262.0,
90:08:00:00,3,1,73:DC Detector Leakage Current,0.0,
90:08:00:00,3,1,16:Charge Loop DC Level,-0.4,
90:09:00:00,3,0,11:PRTD 1,-157.76003,
90:09:00:00,3,0,12:PRTD 2,-199.18405,
90:09:00:00,3,0,13:Ambient Temperature,27.00055,
90:09:00:00,3,0,14:LN2 Level,0.0,
90:09:00:00,3,1,15:AC Detector Leakage Current,-262.0,
90:09:00:00,3,1,73:DC Detector Leakage Current,10.582031,
90:09:00:00,3,1,16:Charge Loop DC Level,-0.37999997,
90:10:00:00,3,0,11:PRTD 1,-157.77695,
90:10:00:00,3,0,12:PRTD 2,-199.18405,
90:10:00:00,3,0,13:Ambient Temperature,26.592377,
90:10:00:00,3,0,14:LN2 Level,0.0,
90:10:00:00,3,1,15:AC Detector Leakage Current,-263.0,
90:10:00:00,3,1,73:DC Detector Leakage Current,0.0,
90:10:00:00,3,1,16:Charge Loop DC Level,-0.4,
90:11:00:00,3,0,11:PRTD 1,-157.74875,
90:11:00:00,3,0,12:PRTD 2,-199.21117,
90:11:00:00,3,0,13:Ambient Temperature,26.796448,
90:11:00:00,3,0,14:LN2 Level,0.0,
90:11:00:00,3,1,15:AC Detector Leakage Current,-262.0,
90:11:00:00,3,1,73:DC Detector Leakage Current,0.0,
90:11:00:00,3,1,16:Charge Loop DC Level,-0.4,
90:12:00:00,3,0,11:PRTD 1,-157.73747,
90:12:00:00,3,0,12:PRTD 2,-199.18405,
90:12:00:00,3,0,13:Ambient Temperature,27.00055,
90:12:00:00,3,0,14:LN2 Level,0.0,
90:12:00:00,3,1,15:AC Detector Leakage Current,-262.0,
90:12:00:00,3,1,73:DC Detector Leakage Current,0.0,
90:12:00:00,3,1,16:Charge Loop DC Level,-0.4,
90:13:00:00,3,0,11:PRTD 1,-157.73747,
90:13:00:00,3,0,12:PRTD 2,-199.17862,
90:13:00:00,3,0,13:Ambient Temperature,27.00055,
90:13:00:00,3,0,14:LN2 Level,0.0,
90:13:00:00,3,1,15:AC Detector Leakage Current,-262.0,
90:13:00:00,3,1,73:DC Detector Leakage Current,0.0,
90:13:00:00,3,1,16:Charge Loop DC Level,-0.4,
90:14:00:00,3,0,11:PRTD 1,-157.7544,
90:14:00:00,3,0,12:PRTD 2,-199.1949,
90:14:00:00,3,0,13:Ambient Temperature,26.796448,
90:14:00:00,3,0,14:LN2 Level,0.0,
90:14:00:00,3,1,15:AC Detector Leakage Current,-262.0,
90:14:00:00,3,1,73:DC Detector Leakage Current,-21.164001,
90:14:00:00,3,1,16:Charge Loop DC Level,-0.43999997,
90:15:00:00,3,0,11:PRTD 1,-157.74312,
90:15:00:00,3,0,12:PRTD 2,-199.20575,
90:15:00:00,3,0,13:Ambient Temperature,26.796448,
90:15:00:00,3,0,14:LN2 Level,0.0,
90:15:00:00,3,1,15:AC Detector Leakage Current,-262.0,
90:15:00:00,3,1,73:DC Detector Leakage Current,0.0,
90:15:00:00,3,1,16:Charge Loop DC Level,-0.4,
90:16:00:00,3,0,11:PRTD 1,-157.7262,
90:16:00:00,3,0,12:PRTD 2,-199.21117,
90:16:00:00,3,0,13:Ambient Temperature,27.00055,
90:16:00:00,3,0,14:LN2 Level,0.0,
90:16:00:00,3,1,15:AC Detector Leakage Current,-262.0,
90:16:00:00,3,1,73:DC Detector Leakage Current,-10.582001,
90:16:00:00,3,1,16:Charge Loop DC Level,-0.42,
90:17:00:00,3,0,11:PRTD 1,-157.70929,
90:17:00:00,3,0,12:PRTD 2,-199.22202,
90:17:00:00,3,0,13:Ambient Temperature,27.20462,
90:17:00:00,3,0,14:LN2 Level,0.0,
90:17:00:00,3,1,15:AC Detector Leakage Current,-262.0,
90:17:00:00,3,1,73:DC Detector Leakage Current,0.0,
90:17:00:00,3,1,16:Charge Loop DC Level,-0.4,
90:18:00:00,3,0,11:PRTD 1,-157.698,
90:18:00:00,3,0,12:PRTD 2,-199.18947,
90:18:00:00,3,0,13:Ambient Temperature,27.408691,
90:18:00:00,3,0,14:LN2 Level,0.0,
90:18:00:00,3,1,15:AC Detector Leakage Current,-262.0,
90:18:00:00,3,1,73:DC Detector Leakage Current,10.582031,
90:18:00:00,3,1,16:Charge Loop DC Level,-0.37999997,
90:19:00:00,3,0,11:PRTD 1,-157.71492,
90:19:00:00,3,0,12:PRTD 2,-199.1949,
90:19:00:00,3,0,13:Ambient Temperature,27.00055,
90:19:00:00,3,0,14:LN2 Level,0.0,
90:19:00:00,3,1,15:AC Detector Leakage Current,-262.0,
90:19:00:00,3,1,73:DC Detector Leakage Current,0.0,
90:19:00:00,3,1,16:Charge Loop DC Level,-0.4,
90:20:00:00,3,0,11:PRTD 1,-157.71492,
90:20:00:00,3,0,12:PRTD 2,-199.2166,
90:20:00:00,3,0,13:Ambient Temperature,27.00055,
90:20:00:00,3,0,14:LN2 Level,0.0,
90:20:00:00,3,1,15:AC Detector Leakage Current,-262.0,
90:20:00:00,3,1,73:DC Detector Leakage Current,0.0,
90:20:00:00,3,1,16:Charge Loop DC Level,-0.4,
90:21:00:00,3,0,11:PRTD 1,-157.68674,
90:21:00:00,3,0,12:PRTD 2,-199.2166,
90:21:00:00,3,0,13:Ambient Temperature,27.20462,
90:21:00:00,3,0,14:LN2 Level,0.0,
90:21:00:00,3,1,15:AC Detector Leakage Current,-262.0,
90:21:00:00,3,1,73:DC Detector Leakage Current,0.0,
90:21:00:00,3,1,16:Charge Loop DC Level,-0.4,
90:22:00:00,3,0,11:PRTD 1,-157.67545,
90:22:00:00,3,0,12:PRTD 2,-199.20032,
90:22:00:00,3,0,13:Ambient Temperature,27.408691,
90:22:00:00,3,0,14:LN2 Level,0.0,
90:22:00:00,3,1,15:AC Detector Leakage Current,-262.0,
90:22:00:00,3,1,73:DC Detector Leakage Current,-10.582001,
90:22:00:00,3,1,16:Charge Loop DC Level,-0.42,
90:23:00:00,3,0,11:PRTD 1,-157.68109,
90:23:00:00,3,0,12:PRTD 2,-199.18405,
90:23:00:00,3,0,13:Ambient Temperature,27.408691,
90:23:00:00,3,0,14:LN2 Level,0.0,
90:23:00:00,3,1,15:AC Detector Leakage Current,-262.0,
90:23:00:00,3,1,73:DC Detector Leakage Current,0.0,
90:23:00:00,3,1,16:Charge Loop DC Level,-0.4,
91:00:00:00,3,0,11:PRTD 1,-157.68109,
91:00:00:00,3,0,12:PRTD 2,-199.18947,
91:00:00:00,3,0,13:Ambient Temperature,27.408691,
91:00:00:00,3,0,14:LN2 Level,0.0,
91:00:00:00,3,1,15:AC Detector Leakage Current,-262.0,
91:00:00:00,3,1,73:DC Detector Leakage Current,0.0,
91:00:00:00,3,1,16:Charge Loop DC Level,-0.4,
91:01:00:00,3,0,11:PRTD 1,-157.69237,
91:01:00:00,3,0,12:PRTD 2,-199.1949,
91:01:00:00,3,0,13:Ambient Temperature,27.00055,
91:01:00:00,3,0,14:LN2 Level,0.0,
91:01:00:00,3,1,15:AC Detector Leakage Current,-262.0,
91:01:00:00,3,1,73:DC Detector Leakage Current,10.582031,
91:01:00:00,3,1,16:Charge Loop DC Level,-0.37999997,
91:02:00:00,3,0,11:PRTD 1,-157.68674,
91:02:00:00,3,0,12:PRTD 2,-199.20575,
91:02:00:00,3,0,13:Ambient Temperature,27.00055,
91:02:00:00,3,0,14:LN2 Level,0.0,
