Time Stamp,Record Type,Channel,Parameter Code,Parameter Value
2:06:00:00,3,0,14:LN2 Level,0
2:06:00:00,3,1,15:AC Detector Leakage Current,-262
2:06:00:00,3,1,73:DC Detector Leakage Current,0
2:06:00:00,3,1,16:Charge Loop DC Level,-0.4
2:07:00:00,3,0,11:PRTD 1,-157.7995
2:07:00:00,3,0,12:PRTD 2,-199.17862
2:07:00:00,3,0,13:Ambient Temperature,26.388275
2:07:00:00,3,0,14:LN2 Level,0
2:07:00:00,3,1,15:AC Detector Leakage Current,-262
2:07:00:00,3,1,73:DC Detector Leakage Current,0
2:07:00:00,3,1,16:Charge Loop DC Level,-0.4
2:08:00:00,3,0,11:PRTD 1,-157.76567
2:08:00:00,3,0,12:PRTD 2,-199.20575
2:08:00:00,3,0,13:Ambient Temperature,26.796448
2:08:00:00,3,0,14:LN2 Level,0
2:08:00:00,3,1,15:AC Detector Leakage Current,-262
2:08:00:00,3,1,73:DC Detector Leakage Current,0
2:08:00:00,3,1,16:Charge Loop DC Level,-0.4
2:09:00:00,3,0,11:PRTD 1,-157.76003
2:09:00:00,3,0,12:PRTD 2,-199.18405
2:09:00:00,3,0,13:Ambient Temperature,27.00055
2:09:00:00,3,0,14:LN2 Level,0
2:09:00:00,3,1,15:AC Detector Leakage Current,-262
2:09:00:00,3,1,73:DC Detector Leakage Current,10.582031
2:09:00:00,3,1,16:Charge Loop DC Level,-0.37999997
2:10:00:00,3,0,11:PRTD 1,-157.77695
2:10:00:00,3,0,12:PRTD 2,-199.18405
2:10:00:00,3,0,13:Ambient Temperature,26.592377
2:10:00:00,3,0,14:LN2 Level,0
2:10:00:00,3,1,15:AC Detector Leakage Current,-263
2:10:00:00,3,1,73:DC Detector Leakage Current,0
2:10:00:00,3,1,16:Charge Loop DC Level,-0.4
2:11:00:00,3,0,11:PRTD 1,-157.74875
2:11:00:00,3,0,12:PRTD 2,-199.21117
2:11:00:00,3,0,13:Ambient Temperature,26.796448
2:11:00:00,3,0,14:LN2 Level,0
2:11:00:00,3,1,15:AC Detector Leakage Current,-262
2:11:00:00,3,1,73:DC Detector Leakage Current,0
2:11:00:00,3,1,16:Charge Loop DC Level,-0.4
2:12:00:00,3,0,11:PRTD 1,-157.73747
2:12:00:00,3,0,12:PRTD 2,-199.18405
2:12:00:00,3,0,13:Ambient Temperature,27.00055
