Time Stamp,Record Type,Channel,Parameter Code,Parameter Value
0:00:00:24,1,0,03:USB Input Voltage,0.97
0:00:01:29,2,0,03:USB Input Voltage,5.184
0:00:04:49,1,1,73:DC Detector Leakage Current,-1693.1216
0:00:04:54,1,1,16:Charge Loop DC Level,-23.84
0:00:04:59,2,1,16:Charge Loop DC Level,-17.96
0:00:05:19,2,1,73:DC Detector Leakage Current,-740.7407
0:00:05:39,1,1,73:DC Detector Leakage Current,-2148.148
0:00:05:59,2,1,73:DC Detector Leakage Current,-888.8889
0:00:07:29,1,1,73:DC Detector Leakage Current,-1492.0632
0:00:07:34,2,1,73:DC Detector Leakage Current,-719.5767
0:00:07:39,1,1,73:DC Detector Leakage Current,-1248.6771
0:00:07:44,2,1,73:DC Detector Leakage Current,-677.24866
0:00:08:09,1,1,73:DC Detector Leakage Current,-1089.947
0:00:08:14,2,1,73:DC Detector Leakage Current,-698.4127
0:01:00:00,3,0,11:PRTD 1,-157.39911
0:01:00:00,3,0,12:PRTD 2,-198.56549
0:01:00:00,3,0,13:Ambient Temperature,34.959747
0:01:00:00,3,0,14:LN2 Level,0
0:01:00:00,3,1,15:AC Detector Leakage Current,-257
0:01:00:00,3,1,73:DC Detector Leakage Current,0
0:01:00:00,3,1,16:Charge Loop DC Level,-0.4
0:02:00:00,3,0,11:PRTD 1,-157.39348
0:02:00:00,3,0,12:PRTD 2,-198.57634
0:02:00:00,3,0,13:Ambient Temperature,34.755646
0:02:00:00,3,0,14:LN2 Level,0
0:02:00:00,3,1,15:AC Detector Leakage Current,-258
0:02:00:00,3,1,73:DC Detector Leakage Current,0
0:02:00:00,3,1,16:Charge Loop DC Level,-0.4
0:03:00:00,3,0,11:PRTD 1,-157.39348
0:03:00:00,3,0,12:PRTD 2,-198.56006
0:03:00:00,3,0,13:Ambient Temperature,34.755646
0:03:00:00,3,0,14:LN2 Level,0
0:03:00:00,3,1,15:AC Detector Leakage Current,-257
0:03:00:00,3,1,73:DC Detector Leakage Current,0
0:03:00:00,3,1,16:Charge Loop DC Level,-0.4
0:04:00:00,3,0,11:PRTD 1,-157.39911
0:04:00:00,3,0,12:PRTD 2,-198.54378
0:04:00:00,3,0,13:Ambient Temperature,34.755646
0:04:00:00,3,0,14:LN2 Level,0
0:04:00:00,3,1,15:AC Detector Leakage Current,-259
0:04:00:00,3,1,73:DC Detector Leakage Current,-21.164001
0:04:00:00,3,1,16:Charge Loop DC Level,-0.43999997
0:05:00:00,3,0,11:PRTD 1,-157.39911
0:05:00:00,3,0,12:PRTD 2,-198.57092
0:05:00:00,3,0,13:Ambient Temperature,34.755646
0:05:00:00,3,0,14:LN2 Level,0
0:05:00:00,3,1,15:AC Detector Leakage Current,-258
0:05:00:00,3,1,73:DC Detector Leakage Current,0
0:05:00:00,3,1,16:Charge Loop DC Level,-0.4
0:06:00:00,3,0,11:PRTD 1,-157.40475
0:06:00:00,3,0,12:PRTD 2,-198.55463
0:06:00:00,3,0,13:Ambient Temperature,34.143402
0:06:00:00,3,0,14:LN2 Level,0
0:06:00:00,3,1,15:AC Detector Leakage Current,-262
0:06:00:00,3,1,73:DC Detector Leakage Current,0
0:06:00:00,3,1,16:Charge Loop DC Level,-0.4
0:07:00:00,3,0,11:PRTD 1,-157.42732
0:07:00:00,3,0,12:PRTD 2,-198.55463
0:07:00:00,3,0,13:Ambient Temperature,34.551575
0:07:00:00,3,0,14:LN2 Level,0
0:07:00:00,3,1,15:AC Detector Leakage Current,-258
0:07:00:00,3,1,73:DC Detector Leakage Current,0
0:07:00:00,3,1,16:Charge Loop DC Level,-0.4
0:08:00:00,3,0,11:PRTD 1,-157.43295
0:08:00:00,3,0,12:PRTD 2,-198.54921
0:08:00:00,3,0,13:Ambient Temperature,34.551575
0:08:00:00,3,0,14:LN2 Level,0
0:08:00:00,3,1,15:AC Detector Leakage Current,-258
0:08:00:00,3,1,73:DC Detector Leakage Current,0
0:08:00:00,3,1,16:Charge Loop DC Level,-0.4
0:09:00:00,3,0,11:PRTD 1,-157.42168
0:09:00:00,3,0,12:PRTD 2,-198.56006
0:09:00:00,3,0,13:Ambient Temperature,34.551575
0:09:00:00,3,0,14:LN2 Level,0
0:09:00:00,3,1,15:AC Detector Leakage Current,-258
0:09:00:00,3,1,73:DC Detector Leakage Current,0
0:09:00:00,3,1,16:Charge Loop DC Level,-0.4
0:10:00:00,3,0,11:PRTD 1,-157.4386
0:10:00:00,3,0,12:PRTD 2,-198.54921
0:10:00:00,3,0,13:Ambient Temperature,34.551575
0:10:00:00,3,0,14:LN2 Level,0
0:10:00:00,3,1,15:AC Detector Leakage Current,-259
0:10:00:00,3,1,73:DC Detector Leakage Current,0
0:10:00:00,3,1,16:Charge Loop DC Level,-0.4
0:11:00:00,3,0,11:PRTD 1,-157.4386
0:11:00:00,3,0,12:PRTD 2,-198.53836
0:11:00:00,3,0,13:Ambient Temperature,34.347473
