Time Stamp,Record Type,Channel,Parameter Code,Parameter Value
40:03:00:00,3,0,12:PRTD 2,-199.04843
40:03:00:00,3,0,13:Ambient Temperature,28.225037
40:03:00:00,3,0,14:LN2 Level,0
40:03:00:00,3,1,15:AC Detector Leakage Current,-262
40:03:00:00,3,1,73:DC Detector Leakage Current,0
40:03:00:00,3,1,16:Charge Loop DC Level,-0.4
40:04:00:00,3,0,11:PRTD 1,-156.73903
40:04:00:00,3,0,12:PRTD 2,-199.05928
40:04:00:00,3,0,13:Ambient Temperature,28.225037
40:04:00:00,3,0,14:LN2 Level,0
40:04:00:00,3,1,15:AC Detector Leakage Current,-262
40:04:00:00,3,1,73:DC Detector Leakage Current,0
40:04:00:00,3,1,16:Charge Loop DC Level,-0.4
40:05:00:00,3,0,11:PRTD 1,-156.76724
40:05:00:00,3,0,12:PRTD 2,-199.043
40:05:00:00,3,0,13:Ambient Temperature,28.020935
40:05:00:00,3,0,14:LN2 Level,0
40:05:00:00,3,1,15:AC Detector Leakage Current,-262
40:05:00:00,3,1,73:DC Detector Leakage Current,0
40:05:00:00,3,1,16:Charge Loop DC Level,-0.4
40:06:00:00,3,0,11:PRTD 1,-156.77289
40:06:00:00,3,0,12:PRTD 2,-199.05928
40:06:00:00,3,0,13:Ambient Temperature,28.020935
40:06:00:00,3,0,14:LN2 Level,0
40:06:00:00,3,1,15:AC Detector Leakage Current,-262
40:06:00:00,3,1,73:DC Detector Leakage Current,0
40:06:00:00,3,1,16:Charge Loop DC Level,-0.4
40:07:00:00,3,0,11:PRTD 1,-156.68823
40:07:00:00,3,0,12:PRTD 2,-199.07013
40:07:00:00,3,0,13:Ambient Temperature,29.041351
40:07:00:00,3,0,14:LN2 Level,0
40:07:00:00,3,1,15:AC Detector Leakage Current,-261
40:07:00:00,3,1,73:DC Detector Leakage Current,0
40:07:00:00,3,1,16:Charge Loop DC Level,-0.4
40:08:00:00,3,0,11:PRTD 1,-156.60922
40:08:00:00,3,0,12:PRTD 2,-199.07556
40:08:00:00,3,0,13:Ambient Temperature,29.245453
40:08:00:00,3,0,14:LN2 Level,0
40:08:00:00,3,1,15:AC Detector Leakage Current,-261
40:08:00:00,3,1,73:DC Detector Leakage Current,0
40:08:00:00,3,1,16:Charge Loop DC Level,-0.4
40:09:00:00,3,0,11:PRTD 1,-156.581
40:09:00:00,3,0,12:PRTD 2,-199.07556
40:09:00:00,3,0,13:Ambient Temperature,29.449524
40:09:00:00,3,0,14:LN2 Level,0
40:09:00:00,3,1,15:AC Detector Leakage Current,-261
40:09:00:00,3,1,73:DC Detector Leakage Current,0
40:09:00:00,3,1,16:Charge Loop DC Level,-0.4
40:10:00:00,3,0,11:PRTD 1,-156.56406
40:10:00:00,3,0,12:PRTD 2,-199.08641
40:10:00:00,3,0,13:Ambient Temperature,29.449524
40:10:00:00,3,0,14:LN2 Level,0
40:10:00:00,3,1,15:AC Detector Leakage Current,-261
40:10:00:00,3,1,73:DC Detector Leakage Current,0
40:10:00:00,3,1,16:Charge Loop DC Level,-0.4
40:11:00:00,3,0,11:PRTD 1,-156.55843
40:11:00:00,3,0,12:PRTD 2,-199.08098
40:11:00:00,3,0,13:Ambient Temperature,29.449524
40:11:00:00,3,0,14:LN2 Level,0
40:11:00:00,3,1,15:AC Detector Leakage Current,-261
40:11:00:00,3,1,73:DC Detector Leakage Current,0
40:11:00:00,3,1,16:Charge Loop DC Level,-0.4
40:12:00:00,3,0,11:PRTD 1,-156.54712
40:12:00:00,3,0,12:PRTD 2,-199.07556
40:12:00:00,3,0,13:Ambient Temperature,29.449524
40:12:00:00,3,0,14:LN2 Level,0
40:12:00:00,3,1,15:AC Detector Leakage Current,-261
40:12:00:00,3,1,73:DC Detector Leakage Current,0
40:12:00:00,3,1,16:Charge Loop DC Level,-0.4
40:13:00:00,3,0,11:PRTD 1,-156.53584
40:13:00:00,3,0,12:PRTD 2,-199.07556
40:13:00:00,3,0,13:Ambient Temperature,29.449524
40:13:00:00,3,0,14:LN2 Level,0
40:13:00:00,3,1,15:AC Detector Leakage Current,-261
40:13:00:00,3,1,73:DC Detector Leakage Current,0
40:13:00:00,3,1,16:Charge Loop DC Level,-0.4
40:14:00:00,3,0,11:PRTD 1,-156.5302
40:14:00:00,3,0,12:PRTD 2,-199.07556
40:14:00:00,3,0,13:Ambient Temperature,29.449524
40:14:00:00,3,0,14:LN2 Level,0
40:14:00:00,3,1,15:AC Detector Leakage Current,-261
40:14:00:00,3,1,73:DC Detector Leakage Current,-31.746033
40:14:00:00,3,1,16:Charge Loop DC Level,-0.46
40:15:00:00,3,0,11:PRTD 1,-156.5302
40:15:00:00,3,0,12:PRTD 2,-199.08098
40:15:00:00,3,0,13:Ambient Temperature,29.449524
40:15:00:00,3,0,14:LN2 Level,0
40:15:00:00,3,1,15:AC Detector Leakage Current,-261
40:15:00:00,3,1,73:DC Detector Leakage Current,0
40:15:00:00,3,1,16:Charge Loop DC Level,-0.4
40:16:00:00,3,0,11:PRTD 1,-156.53584
40:16:00:00,3,0,12:PRTD 2,-199.07556
40:16:00:00,3,0,13:Ambient Temperature,29.449524
40:16:00:00,3,0,14:LN2 Level,0
40:16:00:00,3,1,15:AC Detector Leakage Current,-261
40:16:00:00,3,1,73:DC Detector Leakage Current,0
40:16:00:00,3,1,16:Charge Loop DC Level,-0.4
40:17:00:00,3,0,11:PRTD 1,-156.65437
40:17:00:00,3,0,12:PRTD 2,-199.05386
40:17:00:00,3,0,13:Ambient Temperature,28.020935
40:17:00:00,3,0,14:LN2 Level,0
40:17:00:00,3,1,15:AC Detector Leakage Current,-262
40:17:00:00,3,1,73:DC Detector Leakage Current,0
40:17:00:00,3,1,16:Charge Loop DC Level,-0.4
40:18:00:00,3,0,11:PRTD 1,-156.7221
40:18:00:00,3,0,12:PRTD 2,-199.05386
40:18:00:00,3,0,13:Ambient Temperature,28.225037
40:18:00:00,3,0,14:LN2 Level,0
40:18:00:00,3,1,15:AC Detector Leakage Current,-262
40:18:00:00,3,1,73:DC Detector Leakage Current,0
40:18:00:00,3,1,16:Charge Loop DC Level,-0.4
40:19:00:00,3,0,11:PRTD 1,-156.71646
40:19:00:00,3,0,12:PRTD 2,-199.05386
40:19:00:00,3,0,13:Ambient Temperature,28.020935
40:19:00:00,3,0,14:LN2 Level,0
40:19:00:00,3,1,15:AC Detector Leakage Current,-262
40:19:00:00,3,1,73:DC Detector Leakage Current,-10.582001
40:19:00:00,3,1,16:Charge Loop DC Level,-0.42
40:20:00:00,3,0,11:PRTD 1,-156.74466
40:20:00:00,3,0,12:PRTD 2,-199.05386
40:20:00:00,3,0,13:Ambient Temperature,28.020935
40:20:00:00,3,0,14:LN2 Level,0
40:20:00:00,3,1,15:AC Detector Leakage Current,-262
40:20:00:00,3,1,73:DC Detector Leakage Current,0
40:20:00:00,3,1,16:Charge Loop DC Level,-0.4
40:21:00:00,3,0,11:PRTD 1,-156.73903
40:21:00:00,3,0,12:PRTD 2,-199.04843
40:21:00:00,3,0,13:Ambient Temperature,28.225037
40:21:00:00,3,0,14:LN2 Level,0
40:21:00:00,3,1,15:AC Detector Leakage Current,-262
40:21:00:00,3,1,73:DC Detector Leakage Current,0
40:21:00:00,3,1,16:Charge Loop DC Level,-0.4
40:22:00:00,3,0,11:PRTD 1,-156.74466
40:22:00:00,3,0,12:PRTD 2,-199.04843
40:22:00:00,3,0,13:Ambient Temperature,27.816864
40:22:00:00,3,0,14:LN2 Level,0
40:22:00:00,3,1,15:AC Detector Leakage Current,-262
40:22:00:00,3,1,73:DC Detector Leakage Current,0
40:22:00:00,3,1,16:Charge Loop DC Level,-0.4
40:23:00:00,3,0,11:PRTD 1,-156.76724
40:23:00:00,3,0,12:PRTD 2,-199.03758
40:23:00:00,3,0,13:Ambient Temperature,27.816864
40:23:00:00,3,0,14:LN2 Level,0
40:23:00:00,3,1,15:AC Detector Leakage Current,-262
40:23:00:00,3,1,73:DC Detector Leakage Current,0
40:23:00:00,3,1,16:Charge Loop DC Level,-0.4
41:00:00:00,3,0,11:PRTD 1,-156.77853
41:00:00:00,3,0,12:PRTD 2,-199.04843
41:00:00:00,3,0,13:Ambient Temperature,27.816864
41:00:00:00,3,0,14:LN2 Level,0
41:00:00:00,3,1,15:AC Detector Leakage Current,-262
41:00:00:00,3,1,73:DC Detector Leakage Current,0
41:00:00:00,3,1,16:Charge Loop DC Level,-0.4
41:01:00:00,3,0,11:PRTD 1,-156.77853
41:01:00:00,3,0,12:PRTD 2,-199.043
41:01:00:00,3,0,13:Ambient Temperature,27.816864
41:01:00:00,3,0,14:LN2 Level,0
41:01:00:00,3,1,15:AC Detector Leakage Current,-262
41:01:00:00,3,1,73:DC Detector Leakage Current,0
41:01:00:00,3,1,16:Charge Loop DC Level,-0.4
41:02:00:00,3,0,11:PRTD 1,-156.77289
41:02:00:00,3,0,12:PRTD 2,-199.05386
41:02:00:00,3,0,13:Ambient Temperature,28.020935
41:02:00:00,3,0,14:LN2 Level,0
41:02:00:00,3,1,15:AC Detector Leakage Current,-262
41:02:00:00,3,1,73:DC Detector Leakage Current,0
41:02:00:00,3,1,16:Charge Loop DC Level,-0.4
41:03:00:00,3,0,11:PRTD 1,-156.77289
41:03:00:00,3,0,12:PRTD 2,-199.04843
41:03:00:00,3,0,13:Ambient Temperature,28.020935
41:03:00:00,3,0,14:LN2 Level,0
41:03:00:00,3,1,15:AC Detector Leakage Current,-262
41:03:00:00,3,1,73:DC Detector Leakage Current,0
41:03:00:00,3,1,16:Charge Loop DC Level,-0.4
41:04:00:00,3,0,11:PRTD 1,-156.78983
41:04:00:00,3,0,12:PRTD 2,-199.04843
41:04:00:00,3,0,13:Ambient Temperature,28.020935
41:04:00:00,3,0,14:LN2 Level,0
41:04:00:00,3,1,15:AC Detector Leakage Current,-262
41:04:00:00,3,1,73:DC Detector Leakage Current,0
41:04:00:00,3,1,16:Charge Loop DC Level,-0.4
41:05:00:00,3,0,11:PRTD 1,-156.77853
41:05:00:00,3,0,12:PRTD 2,-199.043
41:05:00:00,3,0,13:Ambient Temperature,28.020935
41:05:00:00,3,0,14:LN2 Level,0
41:05:00:00,3,1,15:AC Detector Leakage Current,-262
41:05:00:00,3,1,73:DC Detector Leakage Current,0
41:05:00:00,3,1,16:Charge Loop DC Level,-0.4
41:06:00:00,3,0,11:PRTD 1,-156.7221
41:06:00:00,3,0,12:PRTD 2,-199.05386
41:06:00:00,3,0,13:Ambient Temperature,28.83728
41:06:00:00,3,0,14:LN2 Level,0
41:06:00:00,3,1,15:AC Detector Leakage Current,-262
41:06:00:00,3,1,73:DC Detector Leakage Current,0
41:06:00:00,3,1,16:Charge Loop DC Level,-0.4
41:07:00:00,3,0,11:PRTD 1,-156.61487
41:07:00:00,3,0,12:PRTD 2,-199.09183
41:07:00:00,3,0,13:Ambient Temperature,29.449524
41:07:00:00,3,0,14:LN2 Level,0
41:07:00:00,3,1,15:AC Detector Leakage Current,-261
41:07:00:00,3,1,73:DC Detector Leakage Current,10.582031
41:07:00:00,3,1,16:Charge Loop DC Level,-0.37999997
41:08:00:00,3,0,11:PRTD 1,-156.52455
41:08:00:00,3,0,12:PRTD 2,-199.09183
41:08:00:00,3,0,13:Ambient Temperature,29.857697
41:08:00:00,3,0,14:LN2 Level,0
41:08:00:00,3,1,15:AC Detector Leakage Current,-261
41:08:00:00,3,1,73:DC Detector Leakage Current,0
