Time Stamp,Record Type,Channel,Parameter Code,Parameter Value,Unnamed: 5
82:14:00:00,3,0,12:PRTD 2,-197.4957,
82:14:00:00,3,0,13:Ambient Temperature,28.429108,
82:14:00:00,3,0,14:LN2 Level,0.0,
82:14:00:00,3,1,15:AC Detector Leakage Current,-247.0,
82:14:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
82:14:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
82:15:00:00,3,0,11:PRTD 1,-167.0635,
82:15:00:00,3,0,12:PRTD 2,-197.48483,
82:15:00:00,3,0,13:Ambient Temperature,28.633179,
82:15:00:00,3,0,14:LN2 Level,0.0,
82:15:00:00,3,1,15:AC Detector Leakage Current,-247.0,
82:15:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
82:15:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
82:16:00:00,3,0,11:PRTD 1,-167.04114,
82:16:00:00,3,0,12:PRTD 2,-197.50114,
82:16:00:00,3,0,13:Ambient Temperature,29.041351,
82:16:00:00,3,0,14:LN2 Level,0.0,
82:16:00:00,3,1,15:AC Detector Leakage Current,-247.0,
82:16:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
82:16:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
82:17:00:00,3,0,11:PRTD 1,-167.0635,
82:17:00:00,3,0,12:PRTD 2,-197.5283,
82:17:00:00,3,0,13:Ambient Temperature,28.429108,
82:17:00:00,3,0,14:LN2 Level,0.0,
82:17:00:00,3,1,15:AC Detector Leakage Current,-247.0,
82:17:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
82:17:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
82:18:00:00,3,0,11:PRTD 1,-167.08026,
82:18:00:00,3,0,12:PRTD 2,-197.49026,
82:18:00:00,3,0,13:Ambient Temperature,28.429108,
82:18:00:00,3,0,14:LN2 Level,0.0,
82:18:00:00,3,1,15:AC Detector Leakage Current,-247.0,
82:18:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
82:18:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
82:19:00:00,3,0,11:PRTD 1,-167.0635,
82:19:00:00,3,0,12:PRTD 2,-197.51201,
82:19:00:00,3,0,13:Ambient Temperature,28.83728,
82:19:00:00,3,0,14:LN2 Level,0.0,
82:19:00:00,3,1,15:AC Detector Leakage Current,-247.0,
82:19:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
82:19:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
82:20:00:00,3,0,11:PRTD 1,-167.08026,
82:20:00:00,3,0,12:PRTD 2,-197.51744,
82:20:00:00,3,0,13:Ambient Temperature,28.633179,
82:20:00:00,3,0,14:LN2 Level,0.0,
82:20:00:00,3,1,15:AC Detector Leakage Current,-247.0,
82:20:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
82:20:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
82:21:00:00,3,0,11:PRTD 1,-167.09705,
82:21:00:00,3,0,12:PRTD 2,-197.4957,
82:21:00:00,3,0,13:Ambient Temperature,28.225037,
82:21:00:00,3,0,14:LN2 Level,0.0,
82:21:00:00,3,1,15:AC Detector Leakage Current,-247.0,
82:21:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
82:21:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
82:22:00:00,3,0,11:PRTD 1,-167.0579,
82:22:00:00,3,0,12:PRTD 2,-197.4794,
82:22:00:00,3,0,13:Ambient Temperature,28.83728,
82:22:00:00,3,0,14:LN2 Level,0.0,
82:22:00:00,3,1,15:AC Detector Leakage Current,-247.0,
82:22:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
82:22:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
82:23:00:00,3,0,11:PRTD 1,-167.07468,
82:23:00:00,3,0,12:PRTD 2,-197.51744,
82:23:00:00,3,0,13:Ambient Temperature,28.633179,
82:23:00:00,3,0,14:LN2 Level,0.0,
82:23:00:00,3,1,15:AC Detector Leakage Current,-247.0,
82:23:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
82:23:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
83:00:00:00,3,0,11:PRTD 1,-167.08026,
83:00:00:00,3,0,12:PRTD 2,-197.4957,
83:00:00:00,3,0,13:Ambient Temperature,28.225037,
83:00:00:00,3,0,14:LN2 Level,0.0,
83:00:00:00,3,1,15:AC Detector Leakage Current,-247.0,
83:00:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
83:00:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
83:01:00:00,3,0,11:PRTD 1,-167.08586,
83:01:00:00,3,0,12:PRTD 2,-197.4794,
83:01:00:00,3,0,13:Ambient Temperature,28.429108,
83:01:00:00,3,0,14:LN2 Level,0.0,
83:01:00:00,3,1,15:AC Detector Leakage Current,-247.0,
83:01:00:00,3,1,73:DC Detector Leakage Current,-12.345631,
83:01:00:00,3,1,16:Charge Loop DC Level,-0.67999995,
83:02:00:00,3,0,11:PRTD 1,-167.0635,
83:02:00:00,3,0,12:PRTD 2,-197.51201,
83:02:00:00,3,0,13:Ambient Temperature,28.83728,
83:02:00:00,3,0,14:LN2 Level,0.0,
83:02:00:00,3,1,15:AC Detector Leakage Current,-247.0,
83:02:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
83:02:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
83:03:00:00,3,0,11:PRTD 1,-167.07468,
83:03:00:00,3,0,12:PRTD 2,-197.50114,
83:03:00:00,3,0,13:Ambient Temperature,28.225037,
83:03:00:00,3,0,14:LN2 Level,0.0,
83:03:00:00,3,1,15:AC Detector Leakage Current,-247.0,
83:03:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
83:03:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
83:04:00:00,3,0,11:PRTD 1,-167.1194,
83:04:00:00,3,0,12:PRTD 2,-197.49026,
83:04:00:00,3,0,13:Ambient Temperature,27.816864,
83:04:00:00,3,0,14:LN2 Level,0.0,
83:04:00:00,3,1,15:AC Detector Leakage Current,-247.0,
83:04:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
83:04:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
83:05:00:00,3,0,11:PRTD 1,-167.13058,
83:05:00:00,3,0,12:PRTD 2,-197.4957,
83:05:00:00,3,0,13:Ambient Temperature,27.612793,
83:05:00:00,3,0,14:LN2 Level,0.0,
83:05:00:00,3,1,15:AC Detector Leakage Current,-247.0,
83:05:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
83:05:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
83:06:00:00,3,0,11:PRTD 1,-167.14737,
83:06:00:00,3,0,12:PRTD 2,-197.48483,
83:06:00:00,3,0,13:Ambient Temperature,27.816864,
