Time Stamp,Record Type,Channel,Parameter Code,Parameter Value
0:17:00:00,3,1,15:AC Detector Leakage Current,-247
0:17:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
0:17:00:00,3,1,16:Charge Loop DC Level,-0.65999997
0:18:00:00,3,0,11:PRTD 1,-167.24799
0:18:00:00,3,0,12:PRTD 2,-197.48483
0:18:00:00,3,0,13:Ambient Temperature,29.857697
0:18:00:00,3,0,14:LN2 Level,0
0:18:00:00,3,1,15:AC Detector Leakage Current,-247
0:18:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
0:18:00:00,3,1,16:Charge Loop DC Level,-0.65999997
0:19:00:00,3,0,11:PRTD 1,-167.25357
0:19:00:00,3,0,12:PRTD 2,-197.50114
0:19:00:00,3,0,13:Ambient Temperature,29.857697
0:19:00:00,3,0,14:LN2 Level,0
0:19:00:00,3,1,15:AC Detector Leakage Current,-247
0:19:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
0:19:00:00,3,1,16:Charge Loop DC Level,-0.65999997
0:20:00:00,3,0,11:PRTD 1,-167.26476
0:20:00:00,3,0,12:PRTD 2,-197.4957
0:20:00:00,3,0,13:Ambient Temperature,29.857697
0:20:00:00,3,0,14:LN2 Level,0
0:20:00:00,3,1,15:AC Detector Leakage Current,-247
0:20:00:00,3,1,73:DC Detector Leakage Current,-12.345631
0:20:00:00,3,1,16:Charge Loop DC Level,-0.67999995
0:21:00:00,3,0,11:PRTD 1,-167.25916
0:21:00:00,3,0,12:PRTD 2,-197.4957
0:21:00:00,3,0,13:Ambient Temperature,29.857697
0:21:00:00,3,0,14:LN2 Level,0
0:21:00:00,3,1,15:AC Detector Leakage Current,-247
0:21:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
0:21:00:00,3,1,16:Charge Loop DC Level,-0.65999997
0:22:00:00,3,0,11:PRTD 1,-167.26476
0:22:00:00,3,0,12:PRTD 2,-197.4957
0:22:00:00,3,0,13:Ambient Temperature,29.857697
0:22:00:00,3,0,14:LN2 Level,0
0:22:00:00,3,1,15:AC Detector Leakage Current,-247
0:22:00:00,3,1,73:DC Detector Leakage Current,-12.345631
0:22:00:00,3,1,16:Charge Loop DC Level,-0.67999995
0:23:00:00,3,0,11:PRTD 1,-167.25916
0:23:00:00,3,0,12:PRTD 2,-197.49026
0:23:00:00,3,0,13:Ambient Temperature,29.653595
0:23:00:00,3,0,14:LN2 Level,0
0:23:00:00,3,1,15:AC Detector Leakage Current,-247
0:23:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
0:23:00:00,3,1,16:Charge Loop DC Level,-0.65999997
1:00:00:00,3,0,11:PRTD 1,-167.3486
1:00:00:00,3,0,12:PRTD 2,-197.49026
1:00:00:00,3,0,13:Ambient Temperature,28.020935
1:00:00:00,3,0,14:LN2 Level,0
1:00:00:00,3,1,15:AC Detector Leakage Current,-247
1:00:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
1:00:00:00,3,1,16:Charge Loop DC Level,-0.65999997
1:01:00:00,3,0,11:PRTD 1,-167.43243
1:01:00:00,3,0,12:PRTD 2,-197.4957
1:01:00:00,3,0,13:Ambient Temperature,28.225037
1:01:00:00,3,0,14:LN2 Level,0
1:01:00:00,3,1,15:AC Detector Leakage Current,-247
1:01:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
1:01:00:00,3,1,16:Charge Loop DC Level,-0.65999997
1:02:00:00,3,0,11:PRTD 1,-167.4101
1:02:00:00,3,0,12:PRTD 2,-197.51744
1:02:00:00,3,0,13:Ambient Temperature,28.83728
1:02:00:00,3,0,14:LN2 Level,0
1:02:00:00,3,1,15:AC Detector Leakage Current,-247
1:02:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
1:02:00:00,3,1,16:Charge Loop DC Level,-0.65999997
1:03:00:00,3,0,11:PRTD 1,-167.41568
1:03:00:00,3,0,12:PRTD 2,-197.51201
1:03:00:00,3,0,13:Ambient Temperature,29.041351
1:03:00:00,3,0,14:LN2 Level,0
1:03:00:00,3,1,15:AC Detector Leakage Current,-247
1:03:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
1:03:00:00,3,1,16:Charge Loop DC Level,-0.65999997
1:04:00:00,3,0,11:PRTD 1,-167.3989
1:04:00:00,3,0,12:PRTD 2,-197.51744
1:04:00:00,3,0,13:Ambient Temperature,28.83728
1:04:00:00,3,0,14:LN2 Level,0
1:04:00:00,3,1,15:AC Detector Leakage Current,-247
1:04:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
1:04:00:00,3,1,16:Charge Loop DC Level,-0.65999997
1:05:00:00,3,0,11:PRTD 1,-167.37656
1:05:00:00,3,0,12:PRTD 2,-197.50656
1:05:00:00,3,0,13:Ambient Temperature,29.245453
1:05:00:00,3,0,14:LN2 Level,0
1:05:00:00,3,1,15:AC Detector Leakage Current,-247
1:05:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
1:05:00:00,3,1,16:Charge Loop DC Level,-0.65999997
1:06:00:00,3,0,11:PRTD 1,-167.40448
1:06:00:00,3,0,12:PRTD 2,-197.52287
