Time Stamp,Record Type,Channel,Parameter Code,Parameter Value
0:00:00:04,1,1,73:DC Detector Leakage Current,1037.0371
0:00:00:19,1,0,03:USB Input Voltage,0.79200006
0:00:00:44,2,1,73:DC Detector Leakage Current,1000
0:00:01:24,2,0,03:USB Input Voltage,5.1860003
0:00:04:49,1,1,73:DC Detector Leakage Current,-1777.7777
0:00:06:09,2,1,73:DC Detector Leakage Current,-950.6171
0:01:00:00,3,0,11:PRTD 1,-168.11969
0:01:00:00,3,0,12:PRTD 2,-197.60437
0:01:00:00,3,0,13:Ambient Temperature,35.57199
0:01:00:00,3,0,14:LN2 Level,0
0:02:00:00,3,0,11:PRTD 1,-168.1532
0:02:00:00,3,0,12:PRTD 2,-197.59894
0:02:00:00,3,0,13:Ambient Temperature,35.36789
0:02:00:00,3,0,14:LN2 Level,0
0:03:00:00,3,0,11:PRTD 1,-168.16995
0:03:00:00,3,0,12:PRTD 2,-197.5935
0:03:00:00,3,0,13:Ambient Temperature,35.36789
0:03:00:00,3,0,14:LN2 Level,0
0:04:00:00,3,0,11:PRTD 1,-168.16437
0:04:00:00,3,0,12:PRTD 2,-197.5935
0:04:00:00,3,0,13:Ambient Temperature,35.36789
0:04:00:00,3,0,14:LN2 Level,0
0:05:00:00,3,0,11:PRTD 1,-168.17554
0:05:00:00,3,0,12:PRTD 2,-197.5935
0:05:00:00,3,0,13:Ambient Temperature,35.36789
0:05:00:00,3,0,14:LN2 Level,0
0:06:00:00,3,0,11:PRTD 1,-168.19229
0:06:00:00,3,0,12:PRTD 2,-197.58264
0:06:00:00,3,0,13:Ambient Temperature,34.959747
0:06:00:00,3,0,14:LN2 Level,0
0:07:00:00,3,0,11:PRTD 1,-168.1867
0:07:00:00,3,0,12:PRTD 2,-197.58264
0:07:00:00,3,0,13:Ambient Temperature,35.16382
0:07:00:00,3,0,14:LN2 Level,0
0:08:00:00,3,0,11:PRTD 1,-168.20346
0:08:00:00,3,0,12:PRTD 2,-197.58264
0:08:00:00,3,0,13:Ambient Temperature,35.16382
0:08:00:00,3,0,14:LN2 Level,0
0:09:00:00,3,0,11:PRTD 1,-168.20905
0:09:00:00,3,0,12:PRTD 2,-197.5935
0:09:00:00,3,0,13:Ambient Temperature,35.16382
0:09:00:00,3,0,14:LN2 Level,0
0:10:00:00,3,0,11:PRTD 1,-168.21463
0:10:00:00,3,0,12:PRTD 2,-197.58264
0:10:00:00,3,0,13:Ambient Temperature,35.16382
0:10:00:00,3,0,14:LN2 Level,0
0:11:00:00,3,0,11:PRTD 1,-168.22021
0:11:00:00,3,0,12:PRTD 2,-197.57721
0:11:00:00,3,0,13:Ambient Temperature,34.959747
0:11:00:00,3,0,14:LN2 Level,0
0:12:00:00,3,0,11:PRTD 1,-168.24814
0:12:00:00,3,0,12:PRTD 2,-197.58807
0:12:00:00,3,0,13:Ambient Temperature,34.755646
