Time Stamp,Record Type,Channel,Parameter Code,Parameter Value
69:02:00:00,3,1,15:AC Detector Leakage Current,-247
69:02:00:00,3,1,73:DC Detector Leakage Current,-37.037
69:02:00:00,3,1,16:Charge Loop DC Level,-0.71999997
69:03:00:00,3,0,11:PRTD 1,-166.35881
69:03:00:00,3,0,12:PRTD 2,-197.51744
69:03:00:00,3,0,13:Ambient Temperature,29.857697
69:03:00:00,3,0,14:LN2 Level,0
69:03:00:00,3,1,15:AC Detector Leakage Current,-247
69:03:00:00,3,1,73:DC Detector Leakage Current,-12.345631
69:03:00:00,3,1,16:Charge Loop DC Level,-0.67999995
69:04:00:00,3,0,11:PRTD 1,-166.36441
69:04:00:00,3,0,12:PRTD 2,-197.52287
69:04:00:00,3,0,13:Ambient Temperature,29.857697
69:04:00:00,3,0,14:LN2 Level,0
69:04:00:00,3,1,15:AC Detector Leakage Current,-247
69:04:00:00,3,1,73:DC Detector Leakage Current,-12.345631
69:04:00:00,3,1,16:Charge Loop DC Level,-0.67999995
69:05:00:00,3,0,11:PRTD 1,-166.37
69:05:00:00,3,0,12:PRTD 2,-197.52287
69:05:00:00,3,0,13:Ambient Temperature,29.857697
69:05:00:00,3,0,14:LN2 Level,0
69:05:00:00,3,1,15:AC Detector Leakage Current,-247
69:05:00:00,3,1,73:DC Detector Leakage Current,-12.345631
69:05:00:00,3,1,16:Charge Loop DC Level,-0.67999995
69:06:00:00,3,0,11:PRTD 1,-166.35881
69:06:00:00,3,0,12:PRTD 2,-197.51201
69:06:00:00,3,0,13:Ambient Temperature,30.061768
69:06:00:00,3,0,14:LN2 Level,0
69:06:00:00,3,1,15:AC Detector Leakage Current,-247
69:06:00:00,3,1,73:DC Detector Leakage Current,-12.345631
69:06:00:00,3,1,16:Charge Loop DC Level,-0.67999995
69:07:00:00,3,0,11:PRTD 1,-166.33084
69:07:00:00,3,0,12:PRTD 2,-197.53917
69:07:00:00,3,0,13:Ambient Temperature,30.46994
69:07:00:00,3,0,14:LN2 Level,0
69:07:00:00,3,1,15:AC Detector Leakage Current,-246
69:07:00:00,3,1,73:DC Detector Leakage Current,-12.345631
69:07:00:00,3,1,16:Charge Loop DC Level,-0.67999995
69:08:00:00,3,0,11:PRTD 1,-166.28607
69:08:00:00,3,0,12:PRTD 2,-197.55003
69:08:00:00,3,0,13:Ambient Temperature,30.878082
69:08:00:00,3,0,14:LN2 Level,0
69:08:00:00,3,1,15:AC Detector Leakage Current,-247
69:08:00:00,3,1,73:DC Detector Leakage Current,-12.345631
69:08:00:00,3,1,16:Charge Loop DC Level,-0.67999995
69:09:00:00,3,0,11:PRTD 1,-166.2581
69:09:00:00,3,0,12:PRTD 2,-197.5446
69:09:00:00,3,0,13:Ambient Temperature,30.674011
69:09:00:00,3,0,14:LN2 Level,0
69:09:00:00,3,1,15:AC Detector Leakage Current,-247
69:09:00:00,3,1,73:DC Detector Leakage Current,-24.691298
69:09:00:00,3,1,16:Charge Loop DC Level,-0.6999999
69:10:00:00,3,0,11:PRTD 1,-166.2637
